ID,  Title,  Webindex,  Company,  Description,  Label
00242,  pensions administrator month contract,  69962730,  Abenefit2u,  pension administrator experience type member event ideally defined benefit defined contribution knowledge ability perform manual benefit calculation great opportunity keen enthusiastic pension administrator join friendly inhouse pension team central london interesting diverse role working innovative global organisation qualified studying apply delay fantastic month contract full job profile role apply formal informal discussion contact abenefit advertise multiple issue automatic closing date month date advertisement closing date actual job site contact apply vacancy abenefit latest job,  Accounting_Finance
00243,  financial accountant,  71432341,  Hays,  financial accountant pleased working partnership professional service client opportunity financial accountant based city centre office role prepare financial statutory account audit preparation aca acca qualified previous experience working practice financial accounting audit prepare financial statement annual audit pack produce annual group tax line monthly audit pack review vat return balance sheet reconciliation excellent knowledge date tax accountancy practice pension scheme return payment experience advantageous return receive competitive salary excellent benefit package includes pension role chance part professional organisation employee uk's respected company field part part successful company meet criterion hesitate applying application subject credit reference basic check hay specialist recruitment limited act employment agency permanent recruitment employment business supply temporary worker applying job accept privacy policy disclaimer found hay uk job originally posted www totaljobs jobseeking job,  Accounting_Finance
00244,  senior internal audit,  69544219,  Lawes Insurance Recruitment,  role senior internal audit location london excellent opportunity individual join client highly successful desirable organisation work role senior internal audit plan conduct file review audit company highest standard assist request head internal audit completion internal audit company responsibility plan manage company internal file audit programme ensure audit completed timely manner undertake company file review programme agreed methodology defined head internal audit assist execution internal audit plan agreed audit risk committee perform audit highest standard providing full report area potential area exposure recommendation improvement document evaluate test manual automated system control determine adequacy effectiveness continuity ensuring ensure compliance applicable group policy procedure monitor report result file review head internal audit provide relevant management information senior management trading division group manage assigned project contribute project required requirement insurance background audit experience experience managing cross functional relationship senior level good communicator technical competence good understanding internal control risk management practical experience audit function salary relevant experience hesitate contact email uk note due sheer volume application receive contact successful application heard working day deem application unsuccessful don miss opportunity visit website,  Accounting_Finance
00245,  mortgage services consultant uk leading estate,  68994913,  Sequence,  start rewarding career mortgage consultant work national leading estate agency group answered hear part uk leading estate agency group part group high street branch trade high street brand recruit mortgage consultant successful mortgage service team berkshire mortgage consultant role suit drive determination enthusiasm win sell offer high level customer service cemap qualified unique opportunity career start exciting plenty opportunity mortgage consultant previous sale experience preferably financial service determination enthusiasm drive selfmotivation role mortgage advisor customer service provided highest level demonstrate confident approachable manner good communication driver car owner return offer competitive salary package outstanding training chance work leading award winning company offer rewarding progressive career potentially recruit mortgage consultant consistent award winning organization customer service recognized industry employer employee important asset forward hearing enquiry treated strictest confidence,  Accounting_Finance
00246,  brokers wanted imediate start,  67996688,  OneTwoTrade,  expanding sale team recruiting junior trainee broker city london trading floor trainee broker senior broker open close business client company required contact client worldwide candidate demonstrate structured sale approach show genuine interest finance investment manage portfolio client support trading activity cold calling require ambitious genuinely dynamic sale people,  Accounting_Finance
00247,  risk manager,  72479164,  McGinley Support Services Limited,  vacancy risk manager work infrastructure company based central milton keynes role month extended job purpose provide risk management service project programme team territory level hq major project mentor junior risk analyst management key accountability provide leadership guidance concept risk management management lesson maintaining application stage project lifecycle monitor project comply risk management procedure facilitate risk management lesson workshop required monitor output undertake workshop monitor competence consistency compliance rail procedure manage buying external risk management support delivered required quality standard manage highlevel risk register cost schedule asset investment portfolio manage register forward programme risk management study planned based investment portfolio promote joint evaluation risk contractor establish basis risk sharing incentive job skill experience qualification expert aspect project business risk management build cost schedule business risk model number application explain result risk assessment specialist suggest risk assessment specialist suggest risk management action identified risk knowledge risk management technique knowledge project management project control process membership institute risk management association project management risk practitioner experience project management process procedure sigma belt apply great opportunity,  Accounting_Finance
00248,  stress testing risk manager nonlife,  71686822,  Star Actuarial Futures,  leading insurer seek talented individual perform develop stress testing provide view underlying risk group interact business inform influence business strategy design implement methodology stress test regulatory industry company standard perform stress test budget group provide view risk underlying plan executive interact business inform influence business strategy result stress testing exercise prepare formal report documentation high quality agreed timescales meeting minute team documentation calculation tracking recommendation present result highlight forum risk executive group stress scenario testing validation forum engage key stakeholder stress scenario testing executive external stakeholder finance actuarial team underwriting risk perform independent stress test internal capital model result model opinion model proactively recommend response changing regulatory requirement business matter date current risk actuarial methodology applied stress scenario testing capital analysis reserving purpose assist design management input range risk actuarial work validation capital modelling reserving pricing opinion plan implement continuous improvement stress scenario testing maximise contact information exciting role contact discus vacancy informal discussion career goal happy perform bespoke research behalf nbsp louis nbsp nbsp nbsp louis nbsp antony nbsp nbsp nbsp antony,  Accounting_Finance
00249,  company accountant,  71293654,  Choralis,  job description company accountant windsor client sme service sector vacancy experienced company accountant ownership financial process business successful candidate responsible ensuring system support business maintained accurately frequently maintaining accurate account record reporting key management information taking key project project coordination developing implementing simple cost effective solution business duty include assisting developing system business achieve control project effective corporate collaboration information sharing developing simple operating reporting structure business communicating implementing rest team maintaining day day bookkeeping cash management record keeping ensuring consistency document control business reporting weekly key performance indicator business maintaining weekly part business production annual budget company cash flow forecast adhoc project forecast conjunction director processing payroll ensuring regulatory matter date paye vat company return ensuring system reconciliation check carried regular basis prove accuracy financial management information providing report analysis financial information ledger management providing support basic information preparation year end financial statement audit applicable ensure office run smoothly telephone answered customer appropriately cash collection specific skill required strong organisational communication skill strong character strong attention detail strong account bookkeeping skill highly computer literate high level experience word excel sage line,  Accounting_Finance
00250,  technical project manager mobile payments,  70676738,  expand executive search,  customer project manager smart card nfc mpayments major global vendor consultancy permanent london package leading provider sim card worldwide client played pioneering role shaping global standard mobile communication today offer complete range solution mobile application support sim standard mobile device mobile operator network exciting time project manager work highprofile endtoend operator project uk globally key technical point contact customer global account manager technical team internal department focus area gsm nfc implementation project technology mobile environment ll manage profile customer requirement development testing client implementation delivery helping ensure smooth timely project speak good technical project management client facing background mobile payment nfc smart card banking environment understanding payment specification smart card nfc technology mobile payment technology project management methodology experience desirable ability plan deliver presentation audience including telecom operator partner call rob information forward cv today review touch professional field exploring opportunity smart card nfc space key word nfc mobile payment account manager project manager programme manager mpayments sim smart card vacancy advertised expand executive search search select firm registered england service candidate client,  Accounting_Finance
00251,  pensions administration specialist,  64602169,  Nestle,  recruiting pension administration specialist join team head office reporting pension administration team supervisor pension administration specialist play integral role administering company rsquo care defined benefit pension arrangement ensuring class service provided pension scheme member beneficiary key skill include bull nbsp nbsp nbsp accurately perform check type benefit calculation whilst understanding theory bull nbsp nbsp nbsp assist implementation agreed administration process procedure bull nbsp nbsp nbsp provide member potential member amp beneficiary clear insight scheme benefit whilst providing outstanding customer service bull nbsp nbsp nbsp handle complex query department efficient timely manner bull nbsp nbsp nbsp provide clear advice assistance human resource pension fund member relation day day complex matter bull nbsp nbsp nbsp provide coaching junior member team assist query daily basis pension administration specialist ideally professional qualification experience pension administration system whilst knowledge current pension legislation pension administration including benefit calculation ll selfmotivated excellent team player good communication customer service skill result rsquo focused mind set whilst demonstrating proactive cooperation imperative success role offer benefit expect world rsquo largest food company including professional pension qualification support development future role individual benefit include bull nbsp nbsp nbsp care defined contribution pension provision bull nbsp nbsp nbsp flexible working bull nbsp nbsp nbsp day holiday statutory amp flexible working day bull nbsp nbsp nbsp flexible benefit closing date application pension administration specialist role wednesday january note application advertising process suitable candidate interviewed closing date hesitate apply nbsp,  Accounting_Finance
00252,  commercial underwriting motor team leader,  68714140,  Randstad Financial & Professional,  client leading insurance company seek commercial motor team leader based london commercial motor team leader responsible full ownership day day management business class head commercial absence develop demonstrate depth knowledge specialist business class motor fleet motor trade responsible quoting accordance term reference fleet renewal business promote maintain relationship key supporting broker work processed timely fashion meet motor insurance database time supply target respond effectively internal external correspondence accurately write business case clear report invite renewal action renewal correctly successful commercial motor team leader skill experience experience working underwriting environment motor broking specific focus commercial motor fleet business motivated act professional manner time positive attitude ability work pressure good organisation computer literate m office team player ability communicate level verbally writing spoken presented ability cope pressure great opportunity experienced commercial motor team leader strong communication skill work respected insurance company world quality career commercial motor team leader apply today randstad financial professional encourage application individual age background appointment made merit candidate demonstrate ability work uk randstad financial professional act employment agency permanent recruitment employment business temporary recruitment defined conduct employment agency employment business regulation job originally posted www totaljobs jobseeking job,  Accounting_Finance
00253,  bookkeeper smt support sage line forecasting,  70757997,  Recruitment Genius,  exciting opportunity arisen bookkeeper join dynamic rapidly growing social enterprise major health challenge time developed range behaviour change programme change child life prevent award winning programme highly effective unique worldwide operate uk ireland project usa italy company aim make programme globally experienced bookkeeper office support skill ensure finance stay track provide support back office remote team function passionate child health family contribute idea suite programme working proactively independently part team responsibility include preparing monthly quarterly health wellbeing successful candidate subject enhanced crb check note role initially month part time full time candidate interview place tuesday january,  Accounting_Finance
00254,  dividends corporate actions administrator,  69600287,  ISL UK,  leading financial service provider require individual experience dividend corporate action processing work expanding operation function key responsibility process dividend received fund manager system ensure processing made fsa regulation ensuring tcf rule adhered support operational team required liaise team company stock reconciliation respond query raised customer service internal area efficiently professionally quickly process equity unit trust income unit received internal system ensuring high degree accuracy time deal client ifa query complaint received post email fax phone matter resolved ensure achievement fo published slas undertake duty timely manner constant referral member team ensure system procedure policy directed dividend team leader taking ad hoc duty task requested team leader established source knowledge ifas client staff member record complete mi spreadsheet daily basis job originally posted www totaljobs jobseeking job,  Accounting_Finance
00255,  collection advisor credit management,  71708131,  Unknown,  position collection advisor credit management location gloucestershire cheltenham salary basic increasing basic fee generated increase individual bonus team bonus incentive company established client largest credit management company head office situated cheltenham office located glasgow belfast dublin due expansion recruiting collection advisor cheltenham town centre exciting opportunity work forward thinking organisation role requirement target focused strong desire achieve succeed contacting customer review negotiate manage outstanding debt proactive professional manner arrange full part plan month experience debt collection credit control client advisory role telesales role offer good basic salary excellent commission incentive good career prospect good office hour weekend work excellent working condition interested position simply apply button shown,  Accounting_Finance
00256,  bookkeeper,  72384220,  London4Jobs,  fantastic opportunity bookkeeper join thriving innovative property group due continued success growth book keeper join team duty include reconciliation bank debtor supplier credit control ci vat return processing payroll working paper audit ideal candidate aca acca aat part qualified experience property management development advantage dedicated individual foot grow company start,  Accounting_Finance
00257,  cash team manager london,  71240775,  Warner Scott Recruitment,  client regarded asset management house cash team manager manage oversee manage day day management cash management team primary duty include ensuring outstanding cash item cleared timely fashion ensuring interest posted relevant client account relevant operation manager due regard control escalation staff appraisal objective defined set apply,  Accounting_Finance
00258,  accounts senior portfolio manager,  68669224,  Compass Point Recruitment,  account senior portfolio manager bury st edmunds local professional accountancy firm seeking aca acca qualified candidate equivalent extensive previous experience practice preferably general practice background responsible working account senior supporting general practice corporate service group responsible portfolio client including business limited company good working knowledge business personal tax required experience corporate service including audit beneficial additional training provided reporting direct senior manager responsibility training supervision junior staff working team required role include direct client contact aca acca equivalent qualified accountant significant previous practice experience full range skill essential role suit individual career move wish develop professional skill full internal training programme provided covering technical personal skill opportunity progress firm role apply today compass point recruitment number similar permanent accountancy job information job type visit website find sale job accountancy job industrial job warehouse job admin job customer service job pa job secretary job marketing job offer area mile bury st edmunds office covering bury st edmunds newmarket market haverhill thetford ipswich suffolk cambridgeshire essex norfolk job originally posted www totaljobs jobseeking job,  Accounting_Finance
00259,  dynamics ax finance consultant london,  72198878,  UKStaffsearch,  dynamic ax finance consultant london searching experienced dynamic ax finance consultant leading m dynamic end user london area client expand current dynamic ax team due level success giving opportunity company expansion allowing continue growth respective industry experienced dynamic ax finance consultant good understanding meeting client's strong consultancy skill board specifically year consulting experience dynamic ax axapta preferably exposure ax passion client facing work excellent communication consultancy skill good understanding financial module desirable accounting background candidate certification ax axapta financials significant advantage candidate extensive experience considered client offer rewarding package basic salary annual bonus choice company car generous car allowance business fuel paid laptop mobile phone standard opportunity work home negotiable depending candidate experience project phase discus role impressive dynamic ax axapta position send cv call sam complete confidence nigel frank international leading dynamic ax axapta recruitment firm uk advertising dynamic job agency deal microsoft partner end user uk europe live requirement job microsoft dynamic ax axapta professional specialising solely placing candidate market built relationship key employer uk unrivalled understanding opportunity dynamic ax axapta job visit url removed exciting dynamic ax axapta opportunity dynamic ax axapta dynamic finance functional consultant finance consultant sharepoint sharepoint sale sale consultant consultant sale executive international greater london buckinghamshire surrey sussex kent,  Accounting_Finance
00260,  financial analystbelfast,  70223375,  Black Fox Solutions,  financial analystbelfast black fox solution representing fantastic opportunity financial analyst join finance team company responsible electricity grid northern ireland opportunity arisen financial analyst join finance team assuming responsibility key aspect company financial management temporary position challenging role offer ideal developing accountancy career description duty main duty include treasury cash flow forecast bank reconciliation payment credit control monthly management account carry analysis expenditure variance analysis opex manage issue code cost centre prepare monthly reconciliation agreed balance sheet account assist budgeting process assist preparation price control submission assisting development aspect finance function including system process assisting development business process internal control ongoing monitoring audit required preparation submission group vat return query supervision accounting technician purchase ledger clerk liaising group manager external company bank hmrc ad hoc finance work required essential criterion qualified accountant demonstrate fully uptodate knowledge professional standard procedure strong skill m excel strong analytical communication skill strong procedural numerical reasoning skill good organisational skill attention detail ability manage time achieve deadline ability work team member initiative desirable criterion experience working trading environment experience regulatory accounting successful candidate work reasonable amount overtime required demonstrate commitment flexibility adaptability meet quality standard work deadline recognised nature post change time business change requirement job holder contribute development post temporary contract month duration reviewed occasional travel roi role interest contact donna black fox solution send cv link service private confidential financial analystbelfast,  Accounting_Finance
00261,  senior financial planners,  69856091,  Hanover Search Financial Services,  business pound billion asset management employ ifa rsquo investment manager service vast client bank organisation completely rdr friendly strengthen position market month investing business system infrastructure investment focused increasing productivity adviser level engagement client role provide full range financial planning solution company rsquo hnw client hnw client introduced business existing professional connection business development key part role organisation robust training regime includes mentoring coaching sharpen skill working accountant solicitor centre interest business client base joint venture national accountant solicitor business distinct client service proposition typical client asset pound pound million full paraplanning administration support allowing adviser maximise time front client business ideal candidate diploma level qualified ability desire develop interested applicant contact barry barry call,  Accounting_Finance
00262,  internal audit manager,  71189966,  Michael Page Finance,  working part divisional team nationally represents fantastic opportunity join listed plc audit role key aspect role provide assurance senior management control procedure exist operating effectively undertake range contract business process review involving assessing key risk identifying reviewing effectiveness existing control develop audit plan ten operating company additionally opportunity involved project work behalf divisional longerterm role progress operational finance role division operating company north successful candidate considerable internal audit experience excellent interpersonal influencing skill ability proactive ability travel time client listed plc recently impressive yearonyear growth figure basic package car allowance private medical insurance generous pension contribution application reviewed michael page aware receive high volume application role advertised regularly receive application candidate exceed job credential contact day selected interview specific uk qualification required account overseas equivalent michael page world leading recruitment consultancy job originally posted www totaljobs jobseeking job,  Accounting_Finance
00263,  investments treasury controller,  71851935,  August Clarke,  client based eastleigh investment treasury controller join team duty include responsibility transactional management analysis oversight company investment portfolio including compliance relevant section relevant policy ensure working capital liquid resource cashflow managed efficiently deliver consistently relevant kpis analysing putting action plan place process issue manage day day relationship company outsourced investment manager ensuring mutual understanding operation system development business efficiently effectively endtoend investment process ensuring process procedure risk control documented effective efficient regularly review test process control accordance finance control risk framework skill experience ability build relationship stakeholder level internal external challenge assumption positively bring people journey strong written communication skill fluent articulate confident spoken communication understanding investment principle significant experience practical application coupled excellent analytical skill strong risk control awareness required strong organisational planning skill coupled ability drive solution proactive highly motivated change orientated identify obstacle clear effectively literate including experience accounting system data warehouse architecture desktop system fluent microsoft excel word powerpoint ability understand evaluate interpret diverse financial data experience treasury investment role aca acca cima qualified equivalent limited acting recruitment agency relation role discriminate ground age race gender disability creed sexual orientation comply relevant uk legislation hear back working day assume successful job originally posted www totaljobs jobseeking job,  Accounting_Finance
00264,  head decision support,  69858761,  Unknown,  exciting opportunity arisen ccab qualified senior finance professional join listed financial service organisation based surrey head fp team direct report responsible providing commercial support analysis business finance business partner team work closely senior management team provide commercial finance support analysis activity develops initiative strategic development growth profitability business lead design development business model assess business cashflow generation opportunity flexible challenging manner essential challenge follow verify correct governance process business request including business case interim funding ongoing programme update providing framework ensure business successfully business case benefit progress reported corrective action head decision support manage production annual plan budget forecast longerterm plan implementing monitoring analytics review process facilitate delivery plan undertake coordinate adhoc financial initiative assessment investigation support finance strategy director retail required vacancy arisen due internal promotion,  Accounting_Finance
00265,  finance assistant,  71677246,  Page Personnel Finance,  process engagement data sap system produce product sale billing adhoc billing training course manage query area firm partner level assist processing electronic invoice previous experience working finance function ability communicate effectively people level firm assertive manner strong organisational prioritisation skill keen attention detail ability work effectively part team excellent numerical analytical skill enthusiastic dedicated team player work client instantly recognisable brand milton keynes market month contact hour day monday friday central location good transport link application reviewed page personnel aware receive high volume application role advertised regularly receive application candidate exceed job credential contact day selected interview page personnel leading uk recruitment consultancy job originally posted www totaljobs jobseeking job,  Accounting_Finance
00266,  business performance manager,  68691974,  Morgan Mckinley Group Ltd,  business performance manager excellent opportunity work major fmcg brand business performance manager report directly finance director work closely divisional managing director full responsibility analysis reporting operational financial kpi data business unit working closely key stakeholder internal customer role includes limited ownership analysis mi information dealing query arise producing report kpi information presenting back senior management team provide insight recommendation develop ideally aca qualified relevant qualification consideration strong background commercial role job originally posted www totaljobs jobseeking job,  Accounting_Finance
00267,  finance systems manager,  69956980,  University Partnerships Programme,  finance system manager required work onsite reading university excellent opportunity fully qualified accountant ideally experience education facility management sector exciting role based site reading university excellent opportunity finance system manager work autonomously successful team growing private business key responsibility include financial management site operation ensuring revenue operating cost managed effectively ensure robust financial process control implemented operated responsible timely accurate reporting university line obligation project agreement act business partner supporting financial reporting budgeting forecasting maintain business system fit purpose gather information purpose work site management team set review monitor adjust rent payment room transfer ensure payment schedule correct coordinate collection process additionally coordinate collection recording payment maintain accurate occupancy record rent payment information administration council tax seek application qualified accountant qbe business partnering experience operation background excellent system knowledge experience working education facility management sector advantageous excellent interpersonal skill track record building relationship communicating diverse group cross functional team demonstrate communication skill influence change whilst maintaining good level motivation colleague additionally demonstrate starter motivate consistently solve problem ensure task completed university partnership programme upp leading provider managed university accommodation upp working university providing strategic option residential academic facility support longterm financial objective university upp work building success upp residential service offering provide complete asset management service required include academic support facility student housing tailored meet partner individual estate upp residential service worked partnership university reading facility management marketing service room delivered team employee party cv michael page specific uk qualification required account overseas equivalent party application forwarded michael page ref code contact detail removed,  Accounting_Finance
00268,  accounts assistant credit controller,  69688299,  Paul Mitchell Associates,  client successful local business seeking account assistant role purpose ensure smooth running credit control sale ledger function account department aspect role include bank reconciliation expense report invoice adhoc duty,  Accounting_Finance
00269,  financial reporting analyst,  71432102,  Pepsico,  qualified accountant support european financial control team role prepare manage europe close process periodic close hyperion financial management hfm maintaining integrity financial reporting system key part role ownership adhoc request york manage interaction market unit europe ensure provision robust reporting working european control team gain great european market unit building relationship level business ambitious high performer grow role key accountability accounting reporting prepare manage monthly close annum control perspective europe manage gaap reporting accordance pepsico reporting standard corporate instruction monthly close prepare clear sector reporting instruction period quarter close managing periodic quarter quality earnings reporting quarterly commitment reporting ensure accuracy reported result validation hfm submission manage integrity europe result controller confirmation process manage period close query including cash flow translation account cta restructuring balance sheet liaising corporate europe sector planning developing applying template tracking managing specific reporting activity cta ensure timely submission consolidated europe balance sheet profit loss period end analysis accordance corporate deadline develop improve analysis tool process work junior member team manage balance process europe manage europe scorecard result market unit ensure consistent reporting adherence required guideline agree quarterly issued corporate support europe financial reporting team quarter close process pre letter accounting compliance provide hfm reporting statutory accounting hq hfm entity internal financial control manage sox including review test performed junior team member discussing result director financial reporting analysis director fra work internal control department identify key control design sox documentation addition assist ensuring key control relevant process design follow documentation approval director fra financial reporting process efficiency ownership key debrief action ensure continuous improvement financial reporting process europe suggest implement financial reporting scorecard improvement including liaison pepsico corporate field ensure meet sox review testing certification requirement field support training conduct field visit engage detailed review financial reporting issue provide onsite training pepsico europe financial reporting process direct coaching support technical knowhow advice sector region market unit oversee hyperion financial management training delivery europe network participate meeting region key market financial reporting personnel develop skill hyperion financial management subject matter expert manage data analysis efficiently support user project work accounting reporting support merger acquisition capex contract experience competency required bachelor's degree finance accounting financial accounting tax experience cpa acca ca equivalent exceptional communicator ability drive process europe ability deliver robust information tight deadline strong understanding control control environment strong established analytical problem solving skill solid understanding gaap ifrs preferred excellent verbal written communication skill including awareness cultural difference division effective communication good relationship building skill understanding financial metric willingness ability travel occasionally including europe hyperion financial management experience hfm hyperion web analysis microsoft office pepsico job originally posted www totaljobs jobseeking job,  Accounting_Finance
